id,players,country_name,population
840,14518,United States,331.9
826,5802,United Kingdom,67.3
36,4109,Australia,25.7
724,3774,Spain,47.4
380,3540,Italy,60.4
250,3362,France,67.4
76,2550,Brazil,212.6
32,2249,Argentina,45.4
392,2229,Japan,125.8
643,2018,Russia,146.2
484,1797,Mexico,128.9
356,1563,India,1380.0
124,1381,Canada,38.0
752,1273,Sweden,10.4
203,1240,Czech Republic,10.7
642,1186,Romania,19.3
40,996,Austria,9.0
156,966,China,1439.3
616,933,Poland,37.8
152,799,Chile,19.1
804,739,Ukraine,44.1
703,665,Slovakia,5.5
792,663,Turkey,84.3
554,553,New Zealand,5.1
348,542,Hungary,9.7
372,539,Ireland,5.0
246,450,Finland,5.5
860,382,Uzbekistan,33.5
604,358,Peru,32.9
112,325,Belarus,9.4
578,284,Norway,5.4
398,261,Kazakhstan,18.8
268,208,Georgia,3.7
233,149,Estonia,1.3
440,128,Lithuania,2.8
442,122,Luxembourg,0.6
498,82,Moldova,4.0
51,70,Armenia,3.0
417,37,Kyrgyzstan,6.5
795,32,Turkmenistan,6.0
31,28,Azerbaijan,10.1
762,20,Tajikistan,9.5
528,18,Netherlands,17.4
100,12,Bulgaria,6.9
710,9,South Africa,59.3
428,4,Latvia,1.9
756,4,Switzerland,8.7
276,3,Germany,83.2
208,1,Denmark,5.8
