decade,hand,count,percentage,total
1930,Left-handed,12,15.0,80
1930,Right-handed,68,85.0,80
1940,Left-handed,19,7.4,258
1940,Right-handed,239,92.6,258
1950,Left-handed,50,9.5,525
1950,Right-handed,475,90.5,525
1960,Left-handed,118,8.7,1358
1960,Right-handed,1240,91.3,1358
1970,Left-handed,167,6.4,2626
1970,Right-handed,2459,93.6,2626
1980,Left-handed,627,11.1,5653
1980,Right-handed,5026,88.9,5653
1990,Left-handed,781,9.8,7943
1990,Right-handed,7162,90.2,7943
2000,Left-handed,92,10.7,862
2000,Right-handed,770,89.3,862
