year,surface,champion,tournament
2025,Hard,Jannik Sinner,Australian Open
2024,Hard,Jannik Sinner,Australian Open
2023,Hard,Novak Djokovic,Australian Open
2022,Hard,Rafael Nadal,Australian Open
2021,Hard,Novak Djokovic,Australian Open
2020,Hard,Novak Djokovic,Australian Open
2019,Hard,Novak Djokovic,Australian Open
2018,Hard,Roger Federer,Australian Open
2017,Hard,Roger Federer,Australian Open
2016,Hard,Novak Djokovic,Australian Open
2015,Hard,Novak Djokovic,Australian Open
2014,Hard,Stan Wawrinka,Australian Open
2013,Hard,Novak Djokovic,Australian Open
2012,Hard,Novak Djokovic,Australian Open
2011,Hard,Novak Djokovic,Australian Open
2010,Hard,Roger Federer,Australian Open
2009,Hard,Rafael Nadal,Australian Open
2008,Hard,Novak Djokovic,Australian Open
2007,Hard,Roger Federer,Australian Open
2006,Hard,Roger Federer,Australian Open
2005,Hard,Marat Safin,Australian Open
2005,Clay,Rafael Nadal,French Open
2006,Clay,Rafael Nadal,French Open
2007,Clay,Rafael Nadal,French Open
2008,Clay,Rafael Nadal,French Open
2009,Clay,Roger Federer,French Open
2010,Clay,Rafael Nadal,French Open
2011,Clay,Rafael Nadal,French Open
2012,Clay,Rafael Nadal,French Open
2013,Clay,Rafael Nadal,French Open
2014,Clay,Rafael Nadal,French Open
2015,Clay,Stan Wawrinka,French Open
2016,Clay,Novak Djokovic,French Open
2017,Clay,Rafael Nadal,French Open
2018,Clay,Rafael Nadal,French Open
2019,Clay,Rafael Nadal,French Open
2020,Clay,Rafael Nadal,French Open
2021,Clay,Novak Djokovic,French Open
2022,Clay,Rafael Nadal,French Open
2023,Clay,Novak Djokovic,French Open
2024,Clay,Carlos Alcaraz,French Open
2025,Clay,Carlos Alcaraz,French Open
2005,Grass,Roger Federer,Wimbledon
2006,Grass,Roger Federer,Wimbledon
2007,Grass,Roger Federer,Wimbledon
2008,Grass,Rafael Nadal,Wimbledon
2009,Grass,Roger Federer,Wimbledon
2010,Grass,Rafael Nadal,Wimbledon
2011,Grass,Novak Djokovic,Wimbledon
2012,Grass,Roger Federer,Wimbledon
2013,Grass,Andy Murray,Wimbledon
2014,Grass,Novak Djokovic,Wimbledon
2015,Grass,Novak Djokovic,Wimbledon
2016,Grass,Andy Murray,Wimbledon
2017,Grass,Roger Federer,Wimbledon
2018,Grass,Novak Djokovic,Wimbledon
2019,Grass,Novak Djokovic,Wimbledon
2021,Grass,Novak Djokovic,Wimbledon
2022,Grass,Novak Djokovic,Wimbledon
2023,Grass,Carlos Alcaraz,Wimbledon
2024,Grass,Carlos Alcaraz,Wimbledon
2025,Grass,Jannik Sinner,Wimbledon
2005,Hard,Roger Federer,US Open
2006,Hard,Roger Federer,US Open
2007,Hard,Roger Federer,US Open
2008,Hard,Roger Federer,US Open
2009,Hard,Juan Martín del Potro,US Open
2010,Hard,Rafael Nadal,US Open
2011,Hard,Novak Djokovic,US Open
2012,Hard,Andy Murray,US Open
2013,Hard,Rafael Nadal,US Open
2014,Hard,Marin Čilić,US Open
2015,Hard,Novak Djokovic,US Open
2016,Hard,Stan Wawrinka,US Open
2017,Hard,Rafael Nadal,US Open
2018,Hard,Novak Djokovic,US Open
2019,Hard,Rafael Nadal,US Open
2020,Hard,Dominic Thiem,US Open
2021,Hard,Daniil Medvedev,US Open
2022,Hard,Carlos Alcaraz,US Open
2023,Hard,Novak Djokovic,US Open
2024,Hard,Jannik Sinner,US Open
2025,Hard,Carlos Alcaraz,US Open
