Year,Champion,Runner-up,Score
2005,Roger Federer (3/8),Andy Roddick,"6–2, 7–6(7–2), 6–4"
2006,Roger Federer (4/8),Rafael Nadal,"6–0, 7–6(7–5), 6–7(2–7), 6–3"
2007,Roger Federer (5/8),Rafael Nadal,"7–6(9–7), 4–6, 7–6(7–3), 2–6, 6–2"
2008,Rafael Nadal (1/2),Roger Federer,"6–4, 6–4, 6–7(5–7), 6–7(8–10), 9–7"
2009,Roger Federer (6/8),Andy Roddick,"5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14"
2010,Rafael Nadal (2/2),Tomáš Berdych,"6–3, 7–5, 6–4"
2011,Novak Djokovic (1/7),Rafael Nadal,"6–4, 6–1, 1–6, 6–3"
2012,Roger Federer (7/8),Andy Murray,"4–6, 7–5, 6–3, 6–4"
2013,Andy Murray (1/2),Novak Djokovic,"6–4, 7–5, 6–4"
2014,Novak Djokovic (2/7),Roger Federer,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
2015,Novak Djokovic (3/7),Roger Federer,"7–6(7–1), 6–7(10–12), 6–4, 6–3"
2016,Andy Murray (2/2),Milos Raonic,"6–4, 7–6(7–3), 7–6(7–2)"
2017,Roger Federer (8/8),Marin Čilić,"6–3, 6–1, 6–4"
2018,Novak Djokovic (4/7),Kevin Anderson,"6–2, 6–2, 7–6(7–3)"
2019,Novak Djokovic (5/7),Roger Federer,"7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)"
2021,Novak Djokovic (6/7),Matteo Berrettini,"6–7(4–7), 6–4, 6–4, 6–3"
2022,Novak Djokovic (7/7),Nick Kyrgios,"4–6, 6–3, 6–4, 7–6(7–3)"
2023,Carlos Alcaraz (1/2),Novak Djokovic,"1–6, 7–6(8–6), 6–1, 3–6, 6–4"
2024,Carlos Alcaraz (2/2),Novak Djokovic,"6–2, 6–2, 7–6(7–4)"
2025,Jannik Sinner (1/1),Carlos Alcaraz,"4–6, 6–4, 6–4, 6–4"
